title,price,URL
"IFB 197L 4 Star Direct Cool Advanced Inverter Single Door Refrigerator (IFBDC-2234DBNED, Divine Bliss-Blue, Humidity Controller, Extraordinary Space with Base Drawer)","â‚¹17,990",https://www.amazon.in/IFB-Refrigerator-IFBDC-2234DBNED-Bliss-Blue-Extraordinary/dp/B0DZ6XRLZ7/ref=sr_1_124?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.v_7nMQLqfvYxGdR_4ZGRDeKr3HbCLGEhRT9V8O8alsgvIpUJP46IwM70qZ_RkkhLXBsBpvkQK_MZwelaGagDXJxem4lTagryVCao_F1TXHYYKx-sl43wP0Iostj6Ych0kXg8Wmq-U9I8sc1vrUazQUzagU4_itQTsRLtzFHABPe5R-Y2qLwvbpi6bdvmhWQSKIz4wg2fmGhRaHFicHBWG4lKTnepHfVqwitOW6sFYV0.RbnnwCIrrHVxjy4u8iu73QBjFfN8kGCIBwEf5BlRbr4&dib_tag=se&keywords=FRIDGE&qid=1756774157&sprefix=fridge%2Caps%2C424&sr=8-124
"Godrej 308 L 2 Star | 4-In-1 Convertible Technology | AI Powered | 360Â° Cooling | 95%+ Food Surface Disinfection | Inverter Frost Free Double Door Refrigerator (RF EON 331B RCIT ST RH, Steel Rush)","â‚¹29,990",https://www.amazon.in/Godrej-Refrigerator-EON-331B-RCIT/dp/B0D7Q2Z45T/ref=sr_1_125?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.v_7nMQLqfvYxGdR_4ZGRDeKr3HbCLGEhRT9V8O8alsgvIpUJP46IwM70qZ_RkkhLXBsBpvkQK_MZwelaGagDXJxem4lTagryVCao_F1TXHYYKx-sl43wP0Iostj6Ych0kXg8Wmq-U9I8sc1vrUazQUzagU4_itQTsRLtzFHABPe5R-Y2qLwvbpi6bdvmhWQSKIz4wg2fmGhRaHFicHBWG4lKTnepHfVqwitOW6sFYV0.RbnnwCIrrHVxjy4u8iu73QBjFfN8kGCIBwEf5BlRbr4&dib_tag=se&keywords=FRIDGE&qid=1756774157&sprefix=fridge%2Caps%2C424&sr=8-125
"Panasonic 309 L 3 Star 6-Stage Smart Inverter Frost-Free Double Door Refrigerator (NR-TG321CUSN, Shining Silver, Jumbo Vegetable Basket, Net Capacity 279L)","â‚¹31,490",https://www.amazon.in/Panasonic-Frost-Free-Refrigerator-NR-TG321CUSN-Vegetable/dp/B09GVM87LS/ref=sr_1_126?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.v_7nMQLqfvYxGdR_4ZGRDeKr3HbCLGEhRT9V8O8alsgvIpUJP46IwM70qZ_RkkhLXBsBpvkQK_MZwelaGagDXJxem4lTagryVCao_F1TXHYYKx-sl43wP0Iostj6Ych0kXg8Wmq-U9I8sc1vrUazQUzagU4_itQTsRLtzFHABPe5R-Y2qLwvbpi6bdvmhWQSKIz4wg2fmGhRaHFicHBWG4lKTnepHfVqwitOW6sFYV0.RbnnwCIrrHVxjy4u8iu73QBjFfN8kGCIBwEf5BlRbr4&dib_tag=se&keywords=FRIDGE&qid=1756774157&sprefix=fridge%2Caps%2C424&sr=8-126
"Samsung 236 L, 3 Star, Convertible, Digital Inverter with Display Frost Free Double Door Refrigerator (RT28C3733S8/HL, Silver, Elegant Inox)","â‚¹26,490",https://www.amazon.in/Samsung-Convertible-Refrigerator-RT28C3733S8-HL/dp/B0C2TPHG6Q/ref=sr_1_12?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.Yi0f0zfN3OLeGazR_Pev6jsov5WrbleUnVgphTYSIX7NlLHLdQH7nM2ltNmV3QKs8Euigiu8DuzDbVB2uaCuYKFcXXnHA7YsuNfG61X-DxiS9mLXEPYQffzYrOXcC7-QKdBli4ZCulivFj6rgwm91JbjsQx0aaG6BdrnAKEfzMbnjVCerVCn1m3mDOCvPKIzYt589r0e3t_oB2XMmjFrj-Bl5gr_LeP2Xe5feagHugs.FiNiASlfINT1_eAvEEiyqadMR1lzvsIklb0rYH1N_0w&dib_tag=se&keywords=FRIDGE&qid=1756774139&sprefix=fridge%2Caps%2C424&sr=8-12
"WESTERN Src 380-Gl Visi Cooler Single And Glass Door, Commercial 5 Star Automatic Refrigerator (380 L, Black)","â‚¹32,250",https://www.amazon.in/Western-SRC-380-GL-Commercial-Refrigerator/dp/B0893ZKD22/ref=sr_1_127?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.v_7nMQLqfvYxGdR_4ZGRDeKr3HbCLGEhRT9V8O8alsgvIpUJP46IwM70qZ_RkkhLXBsBpvkQK_MZwelaGagDXJxem4lTagryVCao_F1TXHYYKx-sl43wP0Iostj6Ych0kXg8Wmq-U9I8sc1vrUazQUzagU4_itQTsRLtzFHABPe5R-Y2qLwvbpi6bdvmhWQSKIz4wg2fmGhRaHFicHBWG4lKTnepHfVqwitOW6sFYV0.RbnnwCIrrHVxjy4u8iu73QBjFfN8kGCIBwEf5BlRbr4&dib_tag=se&keywords=FRIDGE&qid=1756774157&sprefix=fridge%2Caps%2C424&sr=8-127
"Bosch MaxFlex Convert 302 L 3 Star Inverter Frost Free Triple Door Refrigerator (CMC33K03NI, 8-in-1 Convertible, UV Protected Body Shield, VitaFresh Technology, Adaptive UI, Sparkly Steel)","â‚¹43,500",https://www.amazon.in/Bosch-Inverter-Refrigerator-CMC33K03NI-Convertible/dp/B0D2BLMJZH/ref=sr_1_128?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.v_7nMQLqfvYxGdR_4ZGRDeKr3HbCLGEhRT9V8O8alsgvIpUJP46IwM70qZ_RkkhLXBsBpvkQK_MZwelaGagDXJxem4lTagryVCao_F1TXHYYKx-sl43wP0Iostj6Ych0kXg8Wmq-U9I8sc1vrUazQUzagU4_itQTsRLtzFHABPe5R-Y2qLwvbpi6bdvmhWQSKIz4wg2fmGhRaHFicHBWG4lKTnepHfVqwitOW6sFYV0.RbnnwCIrrHVxjy4u8iu73QBjFfN8kGCIBwEf5BlRbr4&dib_tag=se&keywords=FRIDGE&qid=1756774157&sprefix=fridge%2Caps%2C424&sr=8-128
"BPL 45 Litre 2 Star Mini Bar Refrigerator (GREY, BRC-F060RBPSGV)",,https://www.amazon.in/BPL-Litre-Star-Refrigerator-BRC-F060RBPSGV/dp/B0DFHFM5XL/ref=sr_1_129?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.qZkTHAr6Eg4UGnx2Mm7X-_4MgUo9ThkE3fAsG4dug6HWvjMKVDs8wQrtbLq1NHC32vGHimtE5a9MpUIzm8K7EpA3vgBPsWnBvjV9uOsa8TmflnHOTluJyaCBXMksoQ9J68vbQKKCm38PCVFM4xyTcE3yyuu6mzSyAj_5MnUAfV61uzDt5NTnrLvHwuxA__uRVUpl6mpwkZlc0oNsXNqu4MO5b0HN3PqW3Wx4EhObMr8.bFRrDTUTnrEc3oyOVEYCDwzTtofulm96HyfLSbT8mfs&dib_tag=se&keywords=FRIDGE&qid=1756774159&sprefix=fridge%2Caps%2C424&sr=8-129
"Whirlpool 207 L 5 Star Icemagic Pro Inverter Direct-Cool Single Door Refrigerator (230 IMPRO ROY 5S INV SAPPHIRE ABYSS-Z1, Blue)","â‚¹18,790",https://www.amazon.in/Whirlpool-230-IMPRO-ROY-INV/dp/B0DBPZ5DY8/ref=sr_1_130?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.qZkTHAr6Eg4UGnx2Mm7X-_4MgUo9ThkE3fAsG4dug6HWvjMKVDs8wQrtbLq1NHC32vGHimtE5a9MpUIzm8K7EpA3vgBPsWnBvjV9uOsa8TmflnHOTluJyaCBXMksoQ9J68vbQKKCm38PCVFM4xyTcE3yyuu6mzSyAj_5MnUAfV61uzDt5NTnrLvHwuxA__uRVUpl6mpwkZlc0oNsXNqu4MO5b0HN3PqW3Wx4EhObMr8.bFRrDTUTnrEc3oyOVEYCDwzTtofulm96HyfLSbT8mfs&dib_tag=se&keywords=FRIDGE&qid=1756774159&sprefix=fridge%2Caps%2C424&sr=8-130
"Haier 237 L, 2 Star, 8 In 1 Convertible, Frost Free Double Door Bottom Mount Refrigerator (HEB-242GS-P, Moon Silver)","â‚¹23,490",https://www.amazon.in/Haier-Double-Refrigerator-HEB-242GS-P-Convertible/dp/B0BTHLG5J2/ref=sr_1_131?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.qZkTHAr6Eg4UGnx2Mm7X-_4MgUo9ThkE3fAsG4dug6HWvjMKVDs8wQrtbLq1NHC32vGHimtE5a9MpUIzm8K7EpA3vgBPsWnBvjV9uOsa8TmflnHOTluJyaCBXMksoQ9J68vbQKKCm38PCVFM4xyTcE3yyuu6mzSyAj_5MnUAfV61uzDt5NTnrLvHwuxA__uRVUpl6mpwkZlc0oNsXNqu4MO5b0HN3PqW3Wx4EhObMr8.bFRrDTUTnrEc3oyOVEYCDwzTtofulm96HyfLSbT8mfs&dib_tag=se&keywords=FRIDGE&qid=1756774159&sprefix=fridge%2Caps%2C424&sr=8-131
"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ABEU, Blue Euphoria, Base stand with drawer)",,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D201ABEU/dp/B0041XZS54/ref=sr_1_132?crid=39HXJBB0WW82A&dib=eyJ2IjoiMSJ9.qZkTHAr6Eg4UGnx2Mm7X-_4MgUo9ThkE3fAsG4dug6HWvjMKVDs8wQrtbLq1NHC32vGHimtE5a9MpUIzm8K7EpA3vgBPsWnBvjV9uOsa8TmflnHOTluJyaCBXMksoQ9J68vbQKKCm38PCVFM4xyTcE3yyuu6mzSyAj_5MnUAfV61uzDt5NTnrLvHwuxA__uRVUpl6mpwkZlc0oNsXNqu4MO5b0HN3PqW3Wx4EhObMr8.bFRrDTUTnrEc3oyOVEYCDwzTtofulm96HyfLSbT8mfs&dib_tag=se&keywords=FRIDGE&qid=1756774159&sprefix=fridge%2Caps%2C424&sr=8-132
